Serie,MAE,MSE,RMSE,MAPE
AMD,18.123009065850287,455.02255932948344,21.331257799986467,11.867118933905815
INTC,1.497906483718721,3.1728906555440224,1.7812609734522402,6.696794036139139
NVDA,26.165803589079907,827.3660634073575,28.763971620889865,19.34254756961916
